07:06:04.386 INFO  Limbo -- Starting server...
07:06:05.780 INFO  Limbo -- Server started on localhost/127.0.0.1:25566
07:09:58.620 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:43862) [V1_12_2]
07:10:01.540 INFO  Limbo -- Player EntityZ096x disconnected
07:10:03.956 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:42296) [V1_12_2]
07:10:06.719 INFO  Limbo -- Player EntityZ096x disconnected
07:10:10.552 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:60472) [V1_12_2]
07:10:17.193 INFO  Limbo -- Player EntityZ096x disconnected
07:17:52.394 INFO  Limbo -- Player ___ connected (/127.0.0.1:47794) [V1_12_2]
07:17:59.902 INFO  Limbo -- Player ___ disconnected
07:18:12.269 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:39760) [V1_12_2]
07:18:17.271 INFO  Limbo -- Player EntityZ096x disconnected
07:19:19.671 INFO  Limbo -- Player The_soulstealer4 connected (/127.0.0.1:48456) [V1_12_2]
07:19:25.996 INFO  Limbo -- Player The_soulstealer4 disconnected
07:24:57.305 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:53974) [V1_12_2]
07:25:02.191 INFO  Limbo -- Player EntityZ096x disconnected
07:25:32.460 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:46220) [V1_12_2]
07:25:36.467 INFO  Limbo -- Player The_soulstealer4 connected (/127.0.0.1:46222) [V1_12_2]
07:25:39.824 INFO  Limbo -- Player The_soulstealer4 disconnected
07:25:41.461 INFO  Limbo -- Player EntityZ096x disconnected
07:26:00.059 INFO  Limbo -- Player The_soulstealer4 connected (/127.0.0.1:53346) [V1_12_2]
07:26:04.526 INFO  Limbo -- Player The_soulstealer4 disconnected
07:26:26.528 INFO  Limbo -- Player EntityZ096x connected (/127.0.0.1:34660) [V1_12_2]
07:27:06.642 INFO  Limbo -- Player EntityZ096x disconnected
07:27:06.864 INFO  Limbo -- Player The_soulstealer4 connected (/127.0.0.1:36660) [V1_12_2]
